day_index,validation_design,method,max_rel,p99_rel,meaningful_max_rel,mae,avg_benchmark_stderr
6,independent,anisotropic_chebyshev_d17,0.022873311646426055,0.022247852129950133,0.022873311646426055,0.014204861173951984,0.003839008048283173
6,independent,anisotropic_chebyshev_d19,0.0217349054958736,0.020995468215688425,0.0217349054958736,0.01296274513206571,0.003839008048283173
6,independent,anisotropic_chebyshev_d21,0.022677517449222345,0.021974337781879832,0.022677517449222345,0.018111349308221024,0.003839008048283173
6,independent,anisotropic_chebyshev_d23,0.041202667160476596,0.030921342570474575,0.041202667160476596,0.015493099765228101,0.003839008048283173
6,independent,hermite,0.3053547257795926,0.2844132197048691,0.3053547257795926,0.10294807945378559,0.003839008048283173
6,independent,local,3.26168525649381,2.8941544822724374,3.26168525649381,0.8567606804395178,0.003839008048283173
6,independent,nystrom,0.070294037252232,0.06163628064123579,0.070294037252232,0.021574239549465756,0.003839008048283173
6,independent,adaptive_hybrid_current,0.020677352130789764,0.020309151445988285,0.020677352130789764,0.013782673597166522,0.003839008048283173
9,development,anisotropic_chebyshev_d13,0.11807172870201087,0.10611167037303862,0.11807172870201087,0.02546968146213483,0.0025175743322932197
9,development,anisotropic_chebyshev_d15,0.10153435467426407,0.09148553960458693,0.10153435467426407,0.03048329633936213,0.0025175743322932197
9,development,anisotropic_chebyshev_d17,0.05392649570691287,0.05197256087253599,0.05392649570691287,0.020094439822480277,0.0025175743322932197
9,development,anisotropic_chebyshev_d19,0.04558949624102932,0.040417068199180714,0.04558949624102932,0.01836888793755084,0.0025175743322932197
9,development,anisotropic_chebyshev_d21,0.04651034809197746,0.04091050589355378,0.04651034809197746,0.010753915867564119,0.0025175743322932197
9,development,anisotropic_chebyshev_d23,0.12267346717816999,0.090709917176018,0.04276459217278976,0.008787452424472306,0.0025175743322932197
9,development,hermite,1.0464604315242636,0.9561810098165157,0.43597291001435834,0.0682035733891406,0.0025175743322932197
9,development,local,16.73914495985259,15.893473055131436,5.946536526884421,0.43236737485366433,0.0025175743322932197
9,development,nystrom,0.17602379837494003,0.15716684448052887,0.17602379837494003,0.03129863204914964,0.0025175743322932197
9,development,adaptive_hybrid_current,0.045306946869345395,0.0396547518448255,0.045306946869345395,0.017584015125252272,0.0025175743322932197
9,independent,anisotropic_chebyshev_d13,0.11216796183521319,0.10834433244601961,0.10260888836222921,0.022285462270692176,0.002462903799258082
9,independent,anisotropic_chebyshev_d15,0.10857925299069535,0.10839812412088247,0.10857925299069535,0.031454699153569174,0.002462903799258082
9,independent,anisotropic_chebyshev_d17,0.1486600831712999,0.11442514220649125,0.063072730759278,0.019709063078997353,0.002462903799258082
9,independent,anisotropic_chebyshev_d19,0.06345804980947137,0.053319597538303065,0.03811191913155052,0.015470563795910806,0.002462903799258082
9,independent,anisotropic_chebyshev_d21,0.2786129739985604,0.1851851857006494,0.04337175115288507,0.01054496922856009,0.002462903799258082
9,independent,anisotropic_chebyshev_d23,0.03896011694335834,0.03890861655767641,0.03896011694335834,0.008134906458189492,0.002462903799258082
9,independent,hermite,1.1160235692484564,1.0382192084999122,0.37898362628216375,0.06343711754316912,0.002462903799258082
9,independent,local,34.10044903983629,27.229656692636496,7.297790042730793,0.4346960423662513,0.002462903799258082
9,independent,nystrom,0.5336000510549498,0.4133079883143241,0.23286989420338441,0.029651698271668088,0.002462903799258082
9,independent,adaptive_hybrid_current,0.03380122527366866,0.033250096565342,0.03380122527366866,0.014610405509941391,0.002462903799258082
