variant,barrier_kind,monitoring,method,month,remaining_steps,train_states,train_paths_per_state,train_scenarios_used,validation_states,benchmark_paths_per_state,max_rel,p99_rel,p95_rel,mae,max_abs,median_noise_ratio,avg_train_stderr,avg_benchmark_stderr
up_out_continuous,up_out,continuous,bernstein,0,12,121,82645,10000045,31,500000,0.4341063633439739,0.3934730001074449,0.2566320598452651,0.11249374833844493,0.5140107125673827,9.850510776863338,0.009464950378526826,0.003880543244017371
up_out_discrete,up_out,discrete,pchip,3,9,121,82645,10000045,31,500000,0.09096457687611403,0.083162827752377,0.04566601142459085,0.011470973359496582,0.050745827783504005,1.5049505369311431,0.0139799243162422,0.005700874088748122
up_out_discrete,up_out,discrete,akima,3,9,121,82645,10000045,31,500000,0.09132963510071661,0.08339630992884635,0.04562924712333676,0.011635791621310091,0.051052145816552486,1.5978675607233652,0.0139799243162422,0.005700874088748122
up_out_discrete,up_out,discrete,chebyshev,3,9,121,82645,10000045,31,500000,0.32414313798651656,0.3211822546125427,0.2728229707488879,0.34466023227625897,1.2431177409853795,28.97741301367639,0.0139799243162422,0.005700874088748122
up_out_discrete,up_out,discrete,bernstein,3,9,121,82645,10000045,31,500000,0.3352955810741359,0.33124010366124124,0.2673880918394057,0.19851313371390525,0.9706515529964888,15.98763210196933,0.0139799243162422,0.005700874088748122
up_out_continuous,up_out,continuous,pchip,3,9,121,82645,10000045,31,500000,0.08808374302321066,0.08155907875866018,0.04671689951807045,0.0069760515098874504,0.030318506055875716,1.3701231162022238,0.00955889952992569,0.003925370408290278
up_out_continuous,up_out,continuous,akima,3,9,121,82645,10000045,31,500000,0.08839665251254561,0.0817870091344941,0.04673172240690288,0.00692924299552692,0.0304923812342226,1.1844778351757168,0.00955889952992569,0.003925370408290278
up_out_continuous,up_out,continuous,chebyshev,3,9,121,82645,10000045,31,500000,0.38957623898468935,0.3768362735339072,0.3193429629117035,0.23990454905358996,1.2935831435343266,20.072031685108136,0.00955889952992569,0.003925370408290278
up_out_continuous,up_out,continuous,bernstein,3,9,121,82645,10000045,31,500000,0.4011242969111027,0.3730870944806976,0.28562673048509996,0.14337734380113765,0.6600534336226263,20.088773515788642,0.00955889952992569,0.003925370408290278
up_out_discrete,up_out,discrete,pchip,6,6,121,82645,10000045,31,500000,0.048533362890281484,0.04754801677445583,0.0432834626260815,0.011593346019615485,0.06295181655107918,1.4480811964451026,0.014315427381274151,0.005817392034799634
up_out_discrete,up_out,discrete,akima,6,6,121,82645,10000045,31,500000,0.0484785587835798,0.04752273113029192,0.04330525801029361,0.01174219560707884,0.06408676906074184,1.429989610970179,0.014315427381274151,0.005817392034799634
up_out_discrete,up_out,discrete,chebyshev,6,6,121,82645,10000045,31,500000,0.44156775253340175,0.404793197804703,0.25975434464027725,0.26341262901059315,1.3215374953705457,27.896590599965908,0.014315427381274151,0.005817392034799634
up_out_discrete,up_out,discrete,bernstein,6,6,121,82645,10000045,31,500000,0.4360238211256275,0.4005277631677315,0.2555863884927134,0.2525270590382961,1.2471804368624415,26.424060842786044,0.014315427381274151,0.005817392034799634
up_out_continuous,up_out,continuous,pchip,6,6,121,82645,10000045,31,500000,0.05073591388872646,0.04907822117029152,0.044016084436249964,0.00796920400929158,0.037749471595244444,1.4676957310824985,0.009597926524998773,0.003934197630200383
up_out_continuous,up_out,continuous,akima,6,6,121,82645,10000045,31,500000,0.05079396240248525,0.049131932346993056,0.04403787979803393,0.00793032138738618,0.0378758083094044,1.4396478590398574,0.009597926524998773,0.003934197630200383
up_out_continuous,up_out,continuous,chebyshev,6,6,121,82645,10000045,31,500000,0.4768674547828535,0.44719267858013956,0.37551467737845157,0.22952032284644833,1.526347708176968,23.80412819851272,0.009597926524998773,0.003934197630200383
up_out_continuous,up_out,continuous,bernstein,6,6,121,82645,10000045,31,500000,0.48434368664343247,0.4603871917257637,0.3999837177682247,0.2502579589799908,1.6172467945153732,24.761894114274156,0.009597926524998773,0.003934197630200383
up_out_discrete,up_out,discrete,pchip,9,3,121,82645,10000045,31,500000,0.023520219494077954,0.022600936228013856,0.01724432964764213,0.0070201303063487,0.03921823624252241,0.49212597462754404,0.01420741384317142,0.005757138042730974
up_out_discrete,up_out,discrete,akima,9,3,121,82645,10000045,31,500000,0.023635392797182558,0.022681557540187077,0.017276300649851844,0.007028422415036607,0.03918155641884358,0.5185756054380736,0.01420741384317142,0.005757138042730974
up_out_discrete,up_out,discrete,chebyshev,9,3,121,82645,10000045,31,500000,0.4780102920681012,0.467854787449696,0.3595172156680573,0.5941741667531759,2.801967656443198,22.80916960955059,0.01420741384317142,0.005757138042730974
up_out_discrete,up_out,discrete,bernstein,9,3,121,82645,10000045,31,500000,0.45648468026007777,0.4522642319916955,0.3392350549915274,0.3108756293521816,2.039055299527641,7.781920502014888,0.01420741384317142,0.005757138042730974
up_out_continuous,up_out,continuous,pchip,9,3,121,82645,10000045,31,500000,0.023520219133283185,0.02259522161439494,0.01723480571253779,0.0023591792803228187,0.017144077267186475,0.1537451919921359,0.009183437503338172,0.0037656925244485113
up_out_continuous,up_out,continuous,akima,9,3,121,82645,10000045,31,500000,0.023635392450645654,0.022675842936548667,0.017266776714747495,0.0023864901778545542,0.016975452612335573,0.33801827178810984,0.009183437503338172,0.0037656925244485113
up_out_continuous,up_out,continuous,chebyshev,9,3,121,82645,10000045,31,500000,0.41183719336469704,0.4064591615619746,0.3904528008038347,0.41907688938124976,2.9245638077095037,22.929463614439438,0.009183437503338172,0.0037656925244485113
up_out_continuous,up_out,continuous,bernstein,9,3,121,82645,10000045,31,500000,0.41070080685976806,0.40629836328133834,0.3803469540940635,0.24374243119243347,1.1976496706336714,17.331122579526184,0.009183437503338172,0.0037656925244485113
up_out_discrete,up_out,discrete,pchip,12,0,121,82645,10000045,31,500000,0.03452717874527542,0.02419654149904524,5.1039899432240516e-05,0.001971275844155713,0.06026409158458357,0.0,0.0,0.0
up_out_discrete,up_out,discrete,akima,12,0,121,82645,10000045,31,500000,0.02113766060834613,0.014954759249154055,0.0002913420626390813,0.0013363995132919652,0.03689388942499461,0.0,0.0,0.0
up_out_discrete,up_out,discrete,chebyshev,12,0,121,82645,10000045,31,500000,3.561988656736463,2.792904523919111,0.8586342767050402,3.1903302900841024,40.82959548856179,74.87790135108669,0.0,0.0
up_out_discrete,up_out,discrete,bernstein,12,0,121,82645,10000045,31,500000,4.362003016354568,3.3529900078545802,0.9072440233683713,4.03958981728218,49.99982757969243,56.458566981462496,0.0,0.0
up_out_continuous,up_out,continuous,pchip,12,0,121,82645,10000045,31,500000,0.03452717874527542,0.02419654149904524,5.1039899432240516e-05,0.001971275844155713,0.06026409158458357,0.0,0.0,0.0
up_out_continuous,up_out,continuous,akima,12,0,121,82645,10000045,31,500000,0.02113766060834613,0.014954759249154055,0.0002913420626390813,0.0013363995132919652,0.03689388942499461,0.0,0.0,0.0
up_out_continuous,up_out,continuous,chebyshev,12,0,121,82645,10000045,31,500000,3.561988656736463,2.792904523919111,0.8586342767050402,3.1903302900841024,40.82959548856179,74.87790135108669,0.0,0.0
up_out_continuous,up_out,continuous,bernstein,12,0,121,82645,10000045,31,500000,4.362003016354568,3.3529900078545802,0.9072440233683713,4.03958981728218,49.99982757969243,56.458566981462496,0.0,0.0
double_out_discrete,double_out,discrete,pchip,0,12,121,82645,10000045,31,500000,0.027406417133859277,0.02736303069943964,0.023910809372840035,0.021773887645084086,0.0636697519004712,2.175233624285191,0.021698573732123694,0.008842148890996049
double_out_discrete,double_out,discrete,akima,0,12,121,82645,10000045,31,500000,0.027384186186689145,0.027347823190074814,0.023990248462561148,0.021732555927231795,0.06371948650308301,2.198873645845008,0.021698573732123694,0.008842148890996049
double_out_discrete,double_out,discrete,chebyshev,0,12,121,82645,10000045,31,500000,0.02737145457467814,0.026205221715074292,0.023041895117309787,0.021012471490938277,0.05512468926349623,2.070793357945944,0.021698573732123694,0.008842148890996049
double_out_discrete,double_out,discrete,bernstein,0,12,121,82645,10000045,31,500000,0.027308016574150534,0.026184458988685072,0.023116467238522436,0.021055750698914983,0.054873771237084146,2.1189771883507684,0.021698573732123694,0.008842148890996049
double_out_continuous,double_out,continuous,pchip,0,12,121,82645,10000045,31,500000,0.029976031367575925,0.029734273398594635,0.02835839411903541,0.014200515024485836,0.0376472667031309,2.921120150408008,0.014330747474759369,0.005868680968278132
double_out_continuous,double_out,continuous,akima,0,12,121,82645,10000045,31,500000,0.0370593815473778,0.034514733049689716,0.028386079886759993,0.01418168347834473,0.03761090854016569,2.9014773194603736,0.014330747474759369,0.005868680968278132
double_out_continuous,double_out,continuous,chebyshev,0,12,121,82645,10000045,31,500000,0.4295033999974025,0.41948127498607,0.3558742642345838,0.1493312156537317,0.5268805939320442,27.386727554314827,0.014330747474759369,0.005868680968278132
double_out_continuous,double_out,continuous,bernstein,0,12,121,82645,10000045,31,500000,0.4301179884078885,0.4201608677010964,0.35675303889569265,0.14652417537952736,0.5183764749080524,27.190247615513673,0.014330747474759369,0.005868680968278132
double_out_discrete,double_out,discrete,pchip,3,9,121,82645,10000045,31,500000,0.012863302765820643,0.012332698568803731,0.01070359111972019,0.0175392525812624,0.06798950171964613,1.3768085539935742,0.02227459197116291,0.009070960209953053
double_out_discrete,double_out,discrete,akima,3,9,121,82645,10000045,31,500000,0.012847725293875662,0.012319626907830618,0.010704760622364244,0.01754987110583261,0.06805255456202097,1.427213978686086,0.02227459197116291,0.009070960209953053
double_out_discrete,double_out,discrete,chebyshev,3,9,121,82645,10000045,31,500000,0.012716967958786667,0.011830159826400946,0.009336439893927483,0.017393629863584326,0.05622801400101185,1.5681380718437672,0.02227459197116291,0.009070960209953053
double_out_discrete,double_out,discrete,bernstein,3,9,121,82645,10000045,31,500000,0.01263610481904602,0.011801522308875495,0.009359031497023454,0.01731999622572482,0.055328909006234994,1.4895824203087014,0.02227459197116291,0.009070960209953053
double_out_continuous,double_out,continuous,pchip,3,9,121,82645,10000045,31,500000,0.019287790120007194,0.018208065479379542,0.013243757778587467,0.012406905915272293,0.04640176933285378,1.2432662480638659,0.015006147517091485,0.006145769859092535
double_out_continuous,double_out,continuous,akima,3,9,121,82645,10000045,31,500000,0.020313331379506323,0.018971098041398043,0.014943203402996439,0.01242403864750001,0.046382175061759234,1.2515801976666743,0.015006147517091485,0.006145769859092535
double_out_continuous,double_out,continuous,chebyshev,3,9,121,82645,10000045,31,500000,0.41600486466346676,0.4114398654742123,0.3511211215669904,0.1788595467157598,0.6275961816501772,22.638805547864838,0.015006147517091485,0.006145769859092535
double_out_continuous,double_out,continuous,bernstein,3,9,121,82645,10000045,31,500000,0.41674574670319947,0.4121726595106664,0.35183203334761126,0.1755862352320317,0.6162586197189164,22.624279109616545,0.015006147517091485,0.006145769859092535
double_out_discrete,double_out,discrete,pchip,6,6,121,82645,10000045,31,500000,0.024697400614677078,0.024511612207542582,0.018212201636390958,0.009590519247884254,0.04044769813852156,0.9112508018540986,0.02223691602039348,0.009059071087941082
double_out_discrete,double_out,discrete,akima,6,6,121,82645,10000045,31,500000,0.024713082480472794,0.02452119824943607,0.018224969160465652,0.009646437105971437,0.040040233023029614,0.9058069219013585,0.02223691602039348,0.009059071087941082
double_out_discrete,double_out,discrete,chebyshev,6,6,121,82645,10000045,31,500000,0.024770040603662037,0.0242231821920476,0.019186474649123948,0.009036096862939682,0.0405450509715255,0.9486852502386577,0.02223691602039348,0.009059071087941082
double_out_discrete,double_out,discrete,bernstein,6,6,121,82645,10000045,31,500000,0.024827016237598018,0.02424440149470878,0.019120270547361005,0.008985219999133869,0.04027088991943195,0.9262960306110064,0.02223691602039348,0.009059071087941082
double_out_continuous,double_out,continuous,pchip,6,6,121,82645,10000045,31,500000,0.02894179397560488,0.02746367630720049,0.021033891360023232,0.006548298612642155,0.03568785004943109,0.9354230477561217,0.01517084077762641,0.006215483793382988
double_out_continuous,double_out,continuous,akima,6,6,121,82645,10000045,31,500000,0.02998205746834727,0.028232311036371874,0.021104125039574644,0.006594092146152702,0.03609568399686669,0.9424080586024677,0.01517084077762641,0.006215483793382988
double_out_continuous,double_out,continuous,chebyshev,6,6,121,82645,10000045,31,500000,0.4093894475886453,0.40516224097111025,0.3533630559658014,0.21987782387050867,0.8909070116714535,22.95796115962709,0.01517084077762641,0.006215483793382988
double_out_continuous,double_out,continuous,bernstein,6,6,121,82645,10000045,31,500000,0.41013124025552716,0.4058986110734451,0.3540856017848425,0.21592834605196637,0.8753183616455864,22.30060680887983,0.01517084077762641,0.006215483793382988
double_out_discrete,double_out,discrete,pchip,9,3,121,82645,10000045,31,500000,0.08386919199703517,0.0813801384344467,0.07546128701901605,0.018971778861869803,0.06209071200305338,2.8884287890156863,0.02109063260435828,0.00855866308985194
double_out_discrete,double_out,discrete,akima,9,3,121,82645,10000045,31,500000,0.08378683899795555,0.08133270984008743,0.07551673660073524,0.018853272594979462,0.06405220825063473,2.899735133611006,0.02109063260435828,0.00855866308985194
double_out_discrete,double_out,discrete,chebyshev,9,3,121,82645,10000045,31,500000,0.08303635468254891,0.08176828685461529,0.07861022128152195,0.01823461591191018,0.05490207354528387,2.5768685394937485,0.02109063260435828,0.00855866308985194
