variant,variant_description,method,month,remaining_periods,state_dimension,train_states,train_paths_per_state,train_scenarios_used,validation_states,benchmark_paths_per_state,steps_per_period,max_rel,p99_rel,p95_rel,mae,max_abs,median_noise_ratio,avg_train_stderr,avg_benchmark_stderr
worst_of,Clip the worst-performing underlying return,sparse_chebyshev,0,12,7,2001,4998,10000998,31,500000,2,0.04632776588488069,0.039333130602592116,0.022693143205993496,0.0020876692240996524,0.005740305133882975,2.178733795359381,0.008702766058199219,0.0008708682958166315
worst_of,Clip the worst-performing underlying return,adaptive_blend,0,12,7,2001,4998,10000998,31,500000,2,0.056673534193586624,0.05501804029037347,0.05112805069589854,0.0033464071536205065,0.011738364327764733,2.896043837060567,0.008702766058199219,0.0008708682958166315
basket_return,Clip the equal-weight basket return,local_summary_quadratic,3,9,7,2001,4998,10000998,31,500000,2,0.04054028317665986,0.033711408354518364,0.01768806123457018,0.03969670688832747,0.12799840520075811,6.957845955583892,0.06036299321240264,0.005936021983425193
basket_return,Clip the equal-weight basket return,local_full_quadratic,3,9,7,2001,4998,10000998,31,500000,2,0.017384866510294306,0.015937566172627857,0.011487078390609624,0.0294509089395376,0.114877037486254,3.7307331111288535,0.06036299321240264,0.005936021983425193
basket_return,Clip the equal-weight basket return,sparse_chebyshev,3,9,7,2001,4998,10000998,31,500000,2,0.017009606225163825,0.016837742258505907,0.014495907202513758,0.023676878125945707,0.10142869607643501,2.1502735879965527,0.06036299321240264,0.005936021983425193
basket_return,Clip the equal-weight basket return,adaptive_blend,3,9,7,2001,4998,10000998,31,500000,2,0.014909234642413203,0.014654306676765198,0.013528636337233979,0.025235882665246453,0.07003821555574952,3.298856170717533,0.06036299321240264,0.005936021983425193
average_clipped,Average the three individually clipped returns,local_summary_quadratic,3,9,7,2001,4998,10000998,31,500000,2,0.02954161826134584,0.02609046045812343,0.017064260758480075,0.02737464954701051,0.08296134070736816,4.279431218805412,0.04711611804309888,0.004629489015604602
average_clipped,Average the three individually clipped returns,local_full_quadratic,3,9,7,2001,4998,10000998,31,500000,2,0.029596974816350798,0.027069294503561277,0.02105969518640126,0.03238240123359202,0.1484301256335101,4.347910183348263,0.04711611804309888,0.004629489015604602
average_clipped,Average the three individually clipped returns,sparse_chebyshev,3,9,7,2001,4998,10000998,31,500000,2,0.014161427413217714,0.013815565388592802,0.012773866115613135,0.02218848076024968,0.07577591733496192,3.914605103410891,0.04711611804309888,0.004629489015604602
average_clipped,Average the three individually clipped returns,adaptive_blend,3,9,7,2001,4998,10000998,31,500000,2,0.014832326433750495,0.014705106826003232,0.014077488996273816,0.020121069838019093,0.06866060442382782,3.0778028114252143,0.04711611804309888,0.004629489015604602
worst_of,Clip the worst-performing underlying return,local_summary_quadratic,3,9,7,2001,4998,10000998,31,500000,2,0.12523592325552116,0.11308066394361849,0.08001675239032156,0.017607815169077192,0.06748962653345814,5.585174493488035,0.02839949053935047,0.0026995156155940835
worst_of,Clip the worst-performing underlying return,local_full_quadratic,3,9,7,2001,4998,10000998,31,500000,2,0.14945488652273722,0.1477611359347521,0.12792244265130318,0.014471740925981311,0.11151159333928362,5.5152400332857106,0.02839949053935047,0.0026995156155940835
worst_of,Clip the worst-performing underlying return,sparse_chebyshev,3,9,7,2001,4998,10000998,31,500000,2,0.09695447351468389,0.08888691015003901,0.060595330734789454,0.01691053254172731,0.08577555426865224,4.335626939464862,0.02839949053935047,0.0026995156155940835
worst_of,Clip the worst-performing underlying return,adaptive_blend,3,9,7,2001,4998,10000998,31,500000,2,0.08651295843639403,0.08250938344430458,0.06470241850959796,0.013019499874878762,0.09452580755266737,3.6796898584590423,0.02839949053935047,0.0026995156155940835
basket_return,Clip the equal-weight basket return,local_summary_quadratic,6,6,7,2001,4998,10000998,31,500000,2,0.0397967475768784,0.03845308397783715,0.03250432573440769,0.036193568439126016,0.19946133211588268,8.292300749482601,0.044561296950381885,0.0031482870856222246
basket_return,Clip the equal-weight basket return,local_full_quadratic,6,6,7,2001,4998,10000998,31,500000,2,0.274082555679511,0.2278742492500335,0.10445665512300406,0.10865745564894004,0.5436070719981174,13.993578844390326,0.044561296950381885,0.0031482870856222246
basket_return,Clip the equal-weight basket return,sparse_chebyshev,6,6,7,2001,4998,10000998,31,500000,2,0.011709352396497296,0.01165002651900499,0.011150522540364298,0.01270154716010398,0.047490997075408714,2.7651315411789854,0.044561296950381885,0.0031482870856222246
basket_return,Clip the equal-weight basket return,adaptive_blend,6,6,7,2001,4998,10000998,31,500000,2,0.018911490160154008,0.018218574332611016,0.015194474036494762,0.013777149689355842,0.06599775056324031,2.840150621117126,0.044561296950381885,0.0031482870856222246
average_clipped,Average the three individually clipped returns,local_summary_quadratic,6,6,7,2001,4998,10000998,31,500000,2,0.056424437297831496,0.05639328229426298,0.05011425981549286,0.039591456603605774,0.16721640810696448,12.794388618421163,0.0328529053568341,0.0021789173782446186
average_clipped,Average the three individually clipped returns,local_full_quadratic,6,6,7,2001,4998,10000998,31,500000,2,0.36222902909355,0.3178316305687572,0.1767759237985751,0.13700496337744045,0.7701870380557079,16.073573704799685,0.0328529053568341,0.0021789173782446186
average_clipped,Average the three individually clipped returns,sparse_chebyshev,6,6,7,2001,4998,10000998,31,500000,2,0.026848692743523486,0.02494807929972102,0.018166540439386432,0.010290634052450334,0.07961171535042055,3.2972831259365085,0.0328529053568341,0.0021789173782446186
average_clipped,Average the three individually clipped returns,adaptive_blend,6,6,7,2001,4998,10000998,31,500000,2,0.02235112179319585,0.021786938848895113,0.01982345667413325,0.011800910703929971,0.06636071254805209,3.4688496667116584,0.0328529053568341,0.0021789173782446186
worst_of,Clip the worst-performing underlying return,local_summary_quadratic,6,6,7,2001,4998,10000998,31,500000,2,0.1274080139042627,0.11114637125701432,0.06237292690056205,0.011271180960508524,0.08302251698110297,4.934972197254588,0.03427857479863518,0.002015141142577222
worst_of,Clip the worst-performing underlying return,local_full_quadratic,6,6,7,2001,4998,10000998,31,500000,2,0.16173064954230792,0.14786634001947413,0.10249680891681466,0.036089450561890155,0.20085305522689723,11.265283054419744,0.03427857479863518,0.002015141142577222
worst_of,Clip the worst-performing underlying return,sparse_chebyshev,6,6,7,2001,4998,10000998,31,500000,2,0.05364287992793571,0.053166912901556236,0.04378500000599518,0.013270072971872963,0.06372551573613805,2.658565312737265,0.03427857479863518,0.002015141142577222
worst_of,Clip the worst-performing underlying return,adaptive_blend,6,6,7,2001,4998,10000998,31,500000,2,0.0827651345566492,0.0685705585003131,0.03473976159878152,0.014388628792626354,0.10212122679354962,4.294634894935862,0.03427857479863518,0.002015141142577222
basket_return,Clip the equal-weight basket return,local_summary_quadratic,9,3,7,2001,4998,10000998,31,500000,2,0.1659471165927981,0.15725618586966753,0.13690560383715805,0.03368090390879627,0.32663840655593024,4.733444838239251,0.04000294498639745,0.0018621724234999218
basket_return,Clip the equal-weight basket return,local_full_quadratic,9,3,7,2001,4998,10000998,31,500000,2,0.3452807889789086,0.33269962969325617,0.30222881052234113,0.11399460623673761,1.046988176079541,17.725419351607094,0.04000294498639745,0.0018621724234999218
basket_return,Clip the equal-weight basket return,sparse_chebyshev,9,3,7,2001,4998,10000998,31,500000,2,0.10257989048553257,0.09015022073655934,0.057097915392653756,0.014269412669261055,0.11300482178986027,3.2998700170187947,0.04000294498639745,0.0018621724234999218
basket_return,Clip the equal-weight basket return,adaptive_blend,9,3,7,2001,4998,10000998,31,500000,2,0.11014733103216852,0.10046891385198906,0.06633584781251178,0.012909994632433657,0.07336686166710127,2.700886697838898,0.04000294498639745,0.0018621724234999218
average_clipped,Average the three individually clipped returns,local_summary_quadratic,9,3,7,2001,4998,10000998,31,500000,2,0.22086992210750336,0.19612631616419116,0.1333518165236089,0.04042595749233597,0.4692933258182439,9.031372407059148,0.030060059941743267,0.0013814432165466775
