variant,month,validation_design,method,max_rel,p99_rel,meaningful_max_rel,mae
basket_return,0,independent,direct_local_5001,0.022410000250951648,0.01780061821361527,0.022410000250951648,0.023396717117923953
basket_return,0,independent,direct_nystrom_5001,0.019686876838547,0.01599113865406902,0.019686876838547,0.019229634301434737
basket_return,0,independent,weighted_sparse_chebyshev_2001,0.02347160477618775,0.018666870567331052,0.02347160477618775,0.01910454175949845
basket_return,0,independent,weighted_sparse_chebyshev_5001,0.005607835252292565,0.005495041846994138,0.005607835252292565,0.01450024393867372
basket_return,0,independent,sparse_chebyshev_2001,0.022650265644275646,0.018021960493393573,0.022650265644275646,0.01899931768926018
basket_return,0,independent,residual_ensemble_5001,0.006177041131763902,0.0059552931395854235,0.006177041131763902,0.012582933721768528
basket_return,0,independent,direct_ensemble_5001,0.015036757375568567,0.011706439943896727,0.015036757375568567,0.013602518691328325
basket_return,3,development,normal_moment_baseline,0.08558247367529177,0.0841162873650778,0.08558247367529177,0.1803945230650436
basket_return,3,development,residual_hermite_2001,0.011079045666332938,0.010993342137756584,0.011079045666332938,0.020893813083624722
basket_return,3,development,residual_hermite_5001,0.007888812140077672,0.007852636453929501,0.007888812140077672,0.014521166244312208
basket_return,3,development,residual_local_5001,0.019221395655999566,0.017395458689577734,0.019221395655999566,0.029011352114938
basket_return,3,development,residual_nystrom_5001,0.00911981204778747,0.00840168763821119,0.00911981204778747,0.013841158293337505
basket_return,3,development,direct_hermite_2001,0.011358460977600383,0.01120913366815292,0.011358460977600383,0.023852383162302166
basket_return,3,development,direct_hermite_5001,0.01054294392272675,0.010481375796793889,0.01054294392272675,0.016043398417089665
basket_return,3,development,direct_local_5001,0.9601189664604912,0.9031753338182302,0.9601189664604912,1.2358493275757614
basket_return,3,development,direct_nystrom_5001,0.08458206645962706,0.08181622159538963,0.08458206645962706,0.15488451772711795
basket_return,3,development,weighted_sparse_chebyshev_2001,0.015034417656038912,0.014774899141364161,0.015034417656038912,0.020339951355466776
basket_return,3,development,weighted_sparse_chebyshev_5001,0.012534007687615607,0.012419704192215957,0.012534007687615607,0.01850593720124712
basket_return,3,development,sparse_chebyshev_2001,0.017009606225163825,0.016837742258505907,0.017009606225163825,0.023676878125945707
basket_return,3,development,residual_ensemble_5001,0.011066294477495844,0.010410954210359938,0.011066294477495844,0.012094110874432287
basket_return,3,development,direct_ensemble_5001,0.29688417496623826,0.2767313960577096,0.29688417496623826,0.4007213466317375
basket_return,3,independent,normal_moment_baseline,0.07506000284391862,0.06986039917539445,0.07506000284391862,0.16699352615862298
basket_return,3,independent,residual_hermite_2001,0.014042710061966696,0.01377072616159049,0.014042710061966696,0.01543218224132408
basket_return,3,independent,residual_hermite_5001,0.012468630470887082,0.01198081440946235,0.012468630470887082,0.011876708863333706
basket_return,3,independent,residual_local_5001,0.015597994988951543,0.01468129512924924,0.015597994988951543,0.02433191707790566
basket_return,3,independent,residual_nystrom_5001,0.011601990172664788,0.01147378106970355,0.011601990172664788,0.015822694174323058
basket_return,3,independent,direct_hermite_2001,0.01233967859563809,0.011342378986187632,0.01233967859563809,0.015117830883507134
basket_return,3,independent,direct_hermite_5001,0.011291871876044333,0.010919323939966991,0.011291871876044333,0.01236364031572153
basket_return,3,independent,direct_local_5001,1.0599520967213394,1.0297341101509436,1.0599520967213394,1.3495249855726241
basket_return,3,independent,direct_nystrom_5001,0.190405937371657,0.17796330103187513,0.190405937371657,0.14836323735615406
basket_return,3,independent,weighted_sparse_chebyshev_2001,0.016278713328014827,0.01612316243847459,0.016278713328014827,0.021182371736103826
basket_return,3,independent,weighted_sparse_chebyshev_5001,0.01242078749436874,0.011391488901275372,0.01242078749436874,0.01464996784948166
basket_return,3,independent,sparse_chebyshev_2001,0.017671654225995245,0.01705274230095197,0.017671654225995245,0.02037538589291175
basket_return,3,independent,residual_ensemble_5001,0.011117513418121377,0.00979054663352374,0.011117513418121377,0.013498539370829794
basket_return,3,independent,direct_ensemble_5001,0.3452076484075069,0.3389024003560861,0.3452076484075069,0.423031068313375
basket_return,6,development,normal_moment_baseline,0.17306076415200444,0.1618385356722548,0.17306076415200444,0.08918119677976079
basket_return,6,development,residual_hermite_2001,0.03435042248607911,0.03137014796254995,0.03435042248607911,0.019685484681215924
basket_return,6,development,residual_hermite_5001,0.028620397005873075,0.026849514576320028,0.028620397005873075,0.021009603841395236
basket_return,6,development,residual_local_5001,0.12566599089442135,0.12054339149940191,0.12566599089442135,0.029296624655676826
basket_return,6,development,residual_nystrom_5001,0.08961492062089393,0.08424387612253761,0.08961492062089393,0.036032758065081966
basket_return,6,development,direct_hermite_2001,0.03644979927257991,0.03419954415700798,0.03644979927257991,0.021229227106357284
basket_return,6,development,direct_hermite_5001,0.027855119849100104,0.027769294877530975,0.027855119849100104,0.02305660685170038
basket_return,6,development,direct_local_5001,5.550335915085121,4.754758005581384,5.550335915085121,1.0644883531014915
basket_return,6,development,direct_nystrom_5001,1.1417985887551931,1.0685792362170534,1.1417985887551931,0.32452339844855527
basket_return,6,development,weighted_sparse_chebyshev_2001,0.01697584642316755,0.016244072177272577,0.01697584642316755,0.009970161615482859
basket_return,6,development,weighted_sparse_chebyshev_5001,0.012544758833310337,0.012027536728541819,0.012544758833310337,0.00925228348275229
basket_return,6,development,sparse_chebyshev_2001,0.011709352396497296,0.01165002651900499,0.011709352396497296,0.01270154716010398
basket_return,6,development,residual_ensemble_5001,0.07218966714052287,0.07133208770282302,0.07218966714052287,0.02378175471490226
basket_return,6,development,direct_ensemble_5001,1.335087682298953,1.2510005330582117,1.335087682298953,0.2972248354550527
basket_return,6,independent,normal_moment_baseline,0.15342031471874193,0.1324076865615246,0.15342031471874193,0.07849880283163602
basket_return,6,independent,residual_hermite_2001,0.02834048809883285,0.027090556920389447,0.02834048809883285,0.017695567415143703
basket_return,6,independent,residual_hermite_5001,0.04287467644500475,0.036680358850921385,0.04287467644500475,0.015448828650701114
basket_return,6,independent,residual_local_5001,0.1038516792833436,0.09973819945957096,0.1038516792833436,0.027123119279034765
basket_return,6,independent,residual_nystrom_5001,0.06744439998499548,0.06300007010442131,0.06744439998499548,0.02761244034297412
basket_return,6,independent,direct_hermite_2001,0.04691495007614883,0.04307077143674803,0.04691495007614883,0.018377259370962067
basket_return,6,independent,direct_hermite_5001,0.0738922335050187,0.05797724871285504,0.0738922335050187,0.016624681894210194
basket_return,6,independent,direct_local_5001,9.074979961934561,8.501968444902161,9.074979961934561,0.9514987006715203
basket_return,6,independent,direct_nystrom_5001,1.1076724685661221,1.019085620470702,1.1076724685661221,0.2685040967782223
