option_type,strike,vol,maturity,time,tau,method,detail,max_rel,p99_rel,mae,max_abs
call,80.000000,0.200000,1.000000,0.600000,0.400000,log Chebyshev,"d1, degree=7",0.0024411596,0.0024352721,0.0064755989,0.0770765103
call,80.000000,0.200000,1.000000,0.600000,0.400000,log polynomial,"spot, degree=9",0.0023290366,0.0023243860,0.0035066524,0.0237842924
call,80.000000,0.200000,1.000000,0.800000,0.200000,log B-spline,"d1, knots=12",0.0067678017,0.0066444800,0.0027097355,0.0128213469
call,80.000000,0.200000,1.000000,0.800000,0.200000,log Chebyshev,"d1, degree=7",0.0021041566,0.0020985978,0.0046634483,0.0519761955
call,80.000000,0.200000,1.000000,0.800000,0.200000,log polynomial,"spot, degree=9",0.0015221311,0.0015186226,0.0042788767,0.0433619849
call,80.000000,0.200000,2.000000,0.400000,1.600000,log B-spline,"d1, knots=12",0.0041424020,0.0041310344,0.0118536643,0.0694411181
call,80.000000,0.200000,2.000000,0.400000,1.600000,log Chebyshev,"d1, degree=7",0.0038511382,0.0038459697,0.0103072702,0.1424775705
call,80.000000,0.200000,2.000000,0.400000,1.600000,log polynomial,"spot, degree=9",0.0048950212,0.0048818022,0.0330323124,0.3768160357
call,80.000000,0.200000,2.000000,0.800000,1.200000,log B-spline,"d1, knots=12",0.0029607151,0.0029037774,0.0047361247,0.0341579353
call,80.000000,0.200000,2.000000,0.800000,1.200000,log Chebyshev,"d1, degree=7",0.0024048534,0.0022599908,0.0173390259,0.1806608100
call,80.000000,0.200000,2.000000,0.800000,1.200000,log polynomial,"spot, degree=9",0.0022272077,0.0020816135,0.0051042039,0.0407952292
call,80.000000,0.200000,2.000000,1.200000,0.800000,log B-spline,"d1, knots=12",0.0051926546,0.0051256771,0.0062776082,0.0395748437
call,80.000000,0.200000,2.000000,1.200000,0.800000,log Chebyshev,"d1, degree=7",0.0014914218,0.0014589382,0.0038781941,0.0235678085
call,80.000000,0.200000,2.000000,1.200000,0.800000,log polynomial,"spot, degree=9",0.0011159270,0.0011142704,0.0030140915,0.0434717482
call,80.000000,0.200000,2.000000,1.600000,0.400000,log B-spline,"d1, knots=12",0.0017049911,0.0016855003,0.0027117302,0.0142194257
call,80.000000,0.200000,2.000000,1.600000,0.400000,log Chebyshev,"d1, degree=7",0.0012793896,0.0012773585,0.0048900209,0.0566606662
call,80.000000,0.200000,2.000000,1.600000,0.400000,log polynomial,"spot, degree=9",0.0015385481,0.0015354372,0.0035210995,0.0188948412
call,80.000000,0.400000,0.500000,0.100000,0.400000,log B-spline,"d1, knots=12",0.0045736064,0.0045371247,0.0069005837,0.0487056588
call,80.000000,0.400000,0.500000,0.100000,0.400000,log Chebyshev,"d1, degree=7",0.0030029686,0.0028474375,0.0108192566,0.0691242392
call,80.000000,0.400000,0.500000,0.100000,0.400000,log polynomial,"spot, degree=9",0.0044652317,0.0044483629,0.0385956417,0.4114917472
call,80.000000,0.400000,0.500000,0.200000,0.300000,log B-spline,"d1, knots=12",0.0043173680,0.0042338651,0.0068007529,0.0424207724
call,80.000000,0.400000,0.500000,0.200000,0.300000,log Chebyshev,"d1, degree=7",0.0015799493,0.0015781532,0.0058373741,0.0632798842
call,80.000000,0.400000,0.500000,0.200000,0.300000,log polynomial,"spot, degree=9",0.0023898449,0.0023804966,0.0131466224,0.1461439145
call,80.000000,0.400000,0.500000,0.300000,0.200000,log B-spline,"d1, knots=12",0.0035342810,0.0035129360,0.0057011611,0.0313476301
call,80.000000,0.400000,0.500000,0.300000,0.200000,log Chebyshev,"d1, degree=7",0.0018581482,0.0011154790,0.0082596507,0.1345404129
call,80.000000,0.400000,0.500000,0.300000,0.200000,log polynomial,"spot, degree=9",0.0015646120,0.0015598309,0.0056007467,0.0582731752
call,80.000000,0.400000,0.500000,0.400000,0.100000,log B-spline,"d1, knots=12",0.0052941906,0.0052163134,0.0033055958,0.0232216366
call,80.000000,0.400000,0.500000,0.400000,0.100000,log Chebyshev,"d1, degree=7",0.0023808665,0.0022416148,0.0046503214,0.0627231324
